order_item_id,order_id,product_id,quantity,unit_price
1,1,83,4,3097.22
2,1,91,4,1734.43
3,1,5,1,230.03
4,1,67,2,3620.2
5,1,14,4,1216.7
6,2,72,4,3015.67
7,3,98,4,3922.57
8,3,81,4,4416.23
9,3,7,3,4066.21
10,3,25,3,2850.7
11,3,38,4,3034.83
12,4,55,1,2388.42
13,4,38,2,3034.83
14,5,83,1,3097.22
15,5,58,2,1032.02
16,5,12,2,2805.0
17,5,93,4,147.38
18,6,42,4,729.12
19,6,58,2,1032.02
20,6,4,4,246.01
21,6,23,1,1641.92
22,7,42,2,729.12
23,7,89,1,1330.49
24,7,84,1,138.33
25,8,91,4,1734.43
26,9,11,4,2727.52
27,9,68,2,4846.68
28,9,91,4,1734.43
29,10,49,2,3568.42
30,10,6,2,2770.21
31,10,99,2,3772.44
32,10,22,2,1411.93
33,10,43,1,1398.78
34,11,40,3,383.83
35,11,94,2,2773.39
36,11,99,1,3772.44
37,11,58,2,1032.02
38,12,1,3,3233.19
39,12,80,1,2734.41
40,13,64,4,906.72
41,13,70,2,2563.97
42,13,1,2,3233.19
43,13,78,4,4652.19
44,14,53,1,3944.64
45,14,57,2,1762.58
46,14,11,3,2727.52
47,14,77,2,741.3
48,15,24,2,2348.37
49,16,84,3,138.33
50,17,19,1,1299.57
51,18,78,1,4652.19
52,18,39,4,4405.74
53,18,43,2,1398.78
54,18,12,2,2805.0
55,18,7,3,4066.21
56,19,85,2,607.57
57,19,89,4,1330.49
58,19,90,3,3207.99
59,19,77,1,741.3
60,19,74,1,3013.14
61,20,42,1,729.12
62,20,48,4,2814.22
63,20,49,1,3568.42
64,21,61,3,3295.51
65,21,18,3,449.87
66,21,16,4,4187.14
67,22,27,1,2596.68
68,22,90,4,3207.99
69,22,79,3,3143.68
70,22,8,4,2170.81
71,22,14,3,1216.7
72,23,68,3,4846.68
73,23,74,2,3013.14
74,23,80,4,2734.41
75,24,94,2,2773.39
76,24,81,3,4416.23
77,24,64,2,906.72
78,24,24,1,2348.37
79,24,79,1,3143.68
80,25,60,1,4059.31
81,26,79,4,3143.68
82,26,54,1,574.96
83,27,45,2,3593.45
84,27,72,1,3015.67
85,27,82,2,872.96
86,28,33,3,874.97
87,28,9,3,600.83
88,28,40,1,383.83
89,29,88,3,3468.74
90,30,51,1,3377.99
91,30,93,2,147.38
92,30,73,2,687.44
93,31,44,4,4651.68
94,31,87,1,1480.61
95,31,62,2,4639.2
96,32,20,3,3471.99
97,32,81,4,4416.23
98,32,59,4,1464.87
99,32,69,1,3765.08
100,33,39,1,4405.74
101,33,73,2,687.44
102,33,93,3,147.38
103,33,87,3,1480.61
104,33,41,1,3686.35
105,34,36,3,2587.55
106,34,4,4,246.01
107,35,22,1,1411.93
108,35,74,3,3013.14
109,35,78,3,4652.19
110,35,50,1,4312.21
111,35,24,3,2348.37
112,36,12,4,2805.0
113,36,64,3,906.72
114,36,31,2,3631.54
115,36,48,3,2814.22
116,37,15,1,4345.77
117,37,48,2,2814.22
118,38,57,1,1762.58
119,39,65,4,4639.94
120,39,20,3,3471.99
121,39,25,3,2850.7
122,39,44,2,4651.68
123,40,67,2,3620.2
124,41,93,4,147.38
125,41,5,4,230.03
126,42,15,1,4345.77
127,42,1,3,3233.19
128,42,40,4,383.83
129,42,6,1,2770.21
130,42,88,1,3468.74
131,43,99,3,3772.44
132,43,85,2,607.57
133,43,96,3,4505.01
134,43,40,2,383.83
135,43,3,2,4471.68
136,44,36,4,2587.55
137,44,69,1,3765.08
138,44,41,3,3686.35
139,45,21,1,1222.34
140,45,36,1,2587.55
141,46,72,3,3015.67
142,46,66,3,3513.3
143,46,14,3,1216.7
144,46,27,2,2596.68
145,46,70,3,2563.97
146,47,32,3,3866.13
147,47,22,4,1411.93
148,47,10,1,3058.26
149,47,40,2,383.83
150,47,79,1,3143.68
151,48,87,1,1480.61
152,48,7,1,4066.21
153,48,14,4,1216.7
154,48,50,4,4312.21
155,49,91,4,1734.43
156,49,77,3,741.3
157,50,43,1,1398.78
158,50,26,4,4499.33
159,50,92,2,3732.03
160,51,90,4,3207.99
161,52,59,3,1464.87
162,53,61,3,3295.51
163,53,30,3,2692.66
164,53,29,4,3022.4
165,53,19,2,1299.57
166,54,42,1,729.12
167,54,59,1,1464.87
168,54,63,4,2479.64
169,55,45,4,3593.45
170,56,22,2,1411.93
171,56,37,1,2742.96
172,56,99,4,3772.44
173,56,45,1,3593.45
174,57,72,3,3015.67
175,57,84,4,138.33
176,57,10,4,3058.26
177,58,53,2,3944.64
178,58,31,4,3631.54
179,58,80,4,2734.41
180,58,32,1,3866.13
181,58,71,3,4807.82
182,59,89,4,1330.49
183,59,76,4,3381.66
184,60,44,1,4651.68
185,60,70,4,2563.97
186,60,89,1,1330.49
187,60,31,4,3631.54
188,60,23,3,1641.92
189,61,13,1,2929.03
190,61,57,1,1762.58
191,61,23,4,1641.92
192,61,40,3,383.83
193,61,52,4,4684.02
194,62,12,2,2805.0
195,63,75,1,2959.99
196,63,97,2,1129.38
197,64,58,3,1032.02
198,64,69,4,3765.08
199,65,74,3,3013.14
200,65,58,3,1032.02
201,65,26,3,4499.33
202,65,27,4,2596.68
203,65,88,3,3468.74
204,66,75,1,2959.99
205,67,66,3,3513.3
206,67,52,1,4684.02
207,67,17,1,3383.86
208,67,38,3,3034.83
209,67,8,1,2170.81
210,68,4,4,246.01
211,68,31,3,3631.54
212,68,56,4,4922.41
213,69,49,2,3568.42
214,69,56,4,4922.41
215,69,70,2,2563.97
216,69,28,2,848.92
217,70,50,2,4312.21
218,70,47,2,1314.74
219,70,54,1,574.96
220,70,20,1,3471.99
221,70,37,1,2742.96
222,71,93,4,147.38
223,71,63,2,2479.64
224,72,18,4,449.87
225,73,90,2,3207.99
226,73,78,4,4652.19
227,73,55,4,2388.42
228,73,80,4,2734.41
229,74,46,1,1929.76
230,74,29,4,3022.4
231,74,24,2,2348.37
232,74,55,3,2388.42
233,75,70,1,2563.97
234,75,74,4,3013.14
235,75,47,3,1314.74
236,75,5,1,230.03
237,76,62,3,4639.2
238,76,89,4,1330.49
239,76,11,1,2727.52
240,76,19,1,1299.57
241,76,94,2,2773.39
242,77,81,1,4416.23
243,77,95,3,825.66
244,77,85,1,607.57
245,77,86,3,4459.59
246,78,100,4,4883.41
247,78,2,3,1193.73
248,78,61,4,3295.51
249,78,59,3,1464.87
250,78,66,3,3513.3
251,79,22,3,1411.93
252,79,5,3,230.03
253,79,89,1,1330.49
254,80,75,3,2959.99
255,80,22,1,1411.93
256,80,74,3,3013.14
257,80,7,4,4066.21
258,81,17,1,3383.86
259,82,33,3,874.97
260,82,17,3,3383.86
261,82,79,3,3143.68
262,83,95,1,825.66
263,84,23,4,1641.92
264,84,76,3,3381.66
265,84,95,2,825.66
266,84,20,3,3471.99
267,84,85,2,607.57
268,85,24,1,2348.37
269,85,68,2,4846.68
270,85,5,2,230.03
271,85,44,4,4651.68
272,86,99,4,3772.44
273,86,50,2,4312.21
274,86,31,2,3631.54
275,86,85,3,607.57
276,87,83,3,3097.22
277,88,7,2,4066.21
278,89,52,2,4684.02
279,89,61,4,3295.51
280,89,39,4,4405.74
281,89,96,4,4505.01
282,90,19,1,1299.57
